_step,actor/entropy,actor/fapo_alpha,actor/fapo_fiber_magnitude,actor/fapo_seq_ratio,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/nemogym_code/acc/mean@1
0,,,,,,,,,,,0.384
5,0.35710725,1,0.00929647,1.00002579,0.04682321,4e-07,0,0,0.05641032,-1.262e-05,
10,0.35668102,1,0.00958262,0.99997593,0.04763699,9e-07,0,0,0.08893885,1.567e-05,0.344
15,0.34937608,1,0.00974428,0.99998733,0.05275448,1e-06,0,0,0.0774436,5.95e-06,
20,0.35637933,1,0.01028003,0.9999838,0.05147637,1e-06,0,0,0.07802163,1.858e-05,0.352
25,0.35193509,1,0.01053897,0.99999679,0.04627236,1e-06,0,0,0.06608115,1.604e-05,
30,0.36587137,1,0.01126831,0.99998139,0.04745708,1e-06,0,0,0.04608404,1.665e-05,0.384
35,0.38098797,1,0.01194409,0.99996935,0.0506744,1e-06,0,0,0.09109574,3.697e-05,
40,0.38618028,1,0.01234515,0.9999745,0.04917699,1e-06,0,0,0.05185275,2.284e-05,0.36
45,0.4253225,1,0.01394413,0.99999032,0.05048087,1e-06,0,0,0.03806322,2.607e-05,
50,0.45990345,1,0.0147355,0.99998987,0.04943127,1e-06,0,0,0.02156986,2.583e-05,0.4
55,0.53352773,1,0.01660166,0.99997369,0.04997296,1e-06,0,0,0.02506481,3.487e-05,
60,0.60686791,1,0.0191063,0.99996382,0.05454879,1e-06,0,0,0.01558966,3.719e-05,0.392
65,0.80212343,1,0.02331805,0.99993204,0.07080193,1e-06,0,0,0.0593384,0.0001066,
70,2.32194328,1,0.05558491,0.99352792,0.24246445,1e-06,0,0,0.15030374,0.00818656,0.424
75,2.09685946,0.68229936,1.00113806,0.78381576,15.36221296,1e-06,0,0,0.04374606,0.39513597,
