_step,actor/entropy,actor/fapo_alpha,actor/fapo_fiber_magnitude,actor/fapo_seq_ratio,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/nemogym_mcqa/acc/mean@1
0,,,,,,,,,,,0.56
5,0.53860605,1,0.01532317,1.00007037,0.14088613,4e-07,0,0,0.03317991,2.012e-05,
10,0.5551787,1,0.01578728,0.99998775,0.32891093,9e-07,0,0,0.02222572,8.32e-06,0.632
15,0.57747096,1,0.01647823,0.99999086,0.1331721,1e-06,0,0,0.00682953,-1.138e-05,
20,0.55902761,1,0.01668667,0.99984516,0.17898169,1e-06,0,0,0.01736298,1.391e-05,0.616
25,0.5648905,1,0.016897,0.99993973,0.14977768,1e-06,0,0,0.02137447,1.847e-05,
30,0.60365182,1,0.0179718,0.99992831,0.14120057,1e-06,0,0,-0.00437404,-2.436e-05,0.616
35,0.63348687,1,0.01923961,0.99999142,0.1360952,1e-06,0,0,0.00646957,-8.12e-06,
40,0.62109125,1,0.01931222,1.00000611,0.1209425,1e-06,0,0,0.04005446,1.832e-05,0.56
45,0.61964083,1,0.01942121,0.99999594,0.12200953,1e-06,0,0,0.01728423,-4.07e-06,
50,0.62298381,1,0.02022994,0.9999215,0.12193156,1e-06,0,0,0.04236137,1.812e-05,0.584
55,0.66801143,1,0.02113261,0.99975502,0.34851743,1e-06,0,0,0.00571502,-1.638e-05,
60,0.63108152,0.99988587,0.02050333,0.99984805,0.30948616,1e-06,0,0,0.04954704,5.21e-06,0.632
65,0.67823344,1,0.0218511,0.99993007,0.18919376,1e-06,0,0,0.02848684,5.88e-06,
70,0.74749684,1,0.02322926,1.00004417,0.09620367,1e-06,0,0,0.06729801,-9.29e-06,0.704
75,0.72165245,1,0.02367028,1.00005769,0.09731531,1e-06,0,0,0.03221342,4.06e-06,
80,0.73483777,1,0.02451528,0.99992244,0.07729639,1e-06,0,0,0.04512239,-6.41e-06,0.648
85,0.77419615,1,0.02544934,1.00000977,0.08395801,1e-06,0,0,0.07719773,3.199e-05,
90,0.80488205,1,0.02657342,0.99994277,0.07952143,1e-06,0,0,0.01445661,2.288e-05,0.664
95,0.87837553,1,0.02876079,0.99998703,0.26925257,1e-06,0,0,0.02869604,-2.868e-05,
100,0.93918777,1,0.03025258,1.00002038,0.08313489,1e-06,0,0,0.02438493,-1.258e-05,0.736
105,0.95187414,1,0.03029479,1.00000511,0.07642965,1e-06,0,0,0.01723635,5.08e-06,
110,1.01309609,1,0.03149053,1.00000769,0.07018555,1e-06,0,0,0.04955279,-1.081e-05,0.72
115,1.11889303,1,0.03574745,1.00010836,0.08301525,1e-06,0,0,0.0328552,3.783e-05,
120,1.3700614,1,0.03903359,0.99995946,0.08784119,1e-06,0,0,0.03807684,8.816e-05,0.672
