_step,actor/entropy,actor/fapo_alpha,actor/fapo_fiber_magnitude,actor/fapo_seq_ratio,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/nemogym_math/acc/mean@1
0,,,,,,,,,,,0.73333333
5,0.41560572,1,0,1,0.05367517,4e-07,0,0,0.01670985,0,
10,0.39852861,1,0,1,0.04561154,9e-07,0,0,0.03385461,0,0.76666667
15,0.41121012,1,0,1,0.04467833,1e-06,0,0,0.02362957,0,
20,0.39625451,1,0,1,0.05774048,1e-06,0,0,0.0409451,0,0.63333333
25,0.3941704,1,0,1,0.04026508,1e-06,0,0,0.02964193,0,
30,0.4124161,1,0,1,0.04135819,1e-06,0,0,0.02036602,0,0.76666667
35,0.40095571,1,0,1,0.03752721,1e-06,0,0,0.01980928,0,
40,0.39411116,1,0,1,0.05550171,1e-06,0,0,0.02712444,0,0.76666667
45,0.39087114,1,0,1,0.03810433,1e-06,0,0,0.03135126,0,
50,0.39573732,1,0,1,0.04158725,1e-06,0,0,0.05466691,0,0.8
55,0.38509971,1,0,1,0.04119906,1e-06,0,0,0.03630337,0,
60,0.37994894,1,0,1,0.0417928,1e-06,0,0,0.05436183,0,0.76666667
65,0.38291642,1,0,1,0.04373509,1e-06,0,0,0.02254145,0,
70,0.37003994,1,0,1,0.04020208,1e-06,0,0,0.03400488,0,0.73333333
75,0.36085415,1,0,1,0.04529297,1e-06,0,0,0.06353954,0,
80,0.33366251,1,0,1,0.04595672,1e-06,0,0,0.05298474,0,0.7
85,0.29099262,1,0,1,0.04642519,1e-06,0,0,0.06040895,0,
90,0.22641452,1,0,1,0.05674722,1e-06,0,0,0.05908905,0,0.7
95,0.15522726,1,0,1,0.07252749,1e-06,0,0,0.06039205,0,
100,0.11372907,1,0,1,0.1005509,1e-06,0,0,0.08797031,0,0.63333333
105,0.09248441,1,0,1,0.09731634,1e-06,0,0,0.01581738,0,
110,0.09180615,1,0,1,0.1666577,1e-06,0,0,0.10177309,0,0.66666667
115,0.07781783,1,0,1,0.2014226,1e-06,0,0,0.08751661,0,
120,0.07283975,1,0,1,0.35322311,1e-06,0,0,0.12783613,0,0.7
125,0.06774192,1,0,1,0.93279698,1e-06,0,0,0.1392582,0,
130,0.0753783,1,0,1,2.92936473,1e-06,0,0,0.04966962,0,0.5
135,0.09708636,1,0,1,9.88289665,1e-06,0,0,0.02359497,0,
140,0.07777027,1,0,1,23.04101091,1e-06,0,0,0.03297147,0,0.16666667
