_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.8,0.49,0.7
5,0.49977679,0.5,6e-08,0.00012029,0.49977679,13.133536,5e-08,-5e-08,0.00412124,0.00468165,0.00062289,0.00056041,0.41468522,0.05667441,4e-07,0.5,0,5e-08,2.12e-06,,,
10,0.5,0.5,0,0.00012355,0.5,12.98923228,0,0,0.00407319,0.00461696,0.00059662,0.00054377,0.40025964,0.05017695,9e-07,0.5,0,0,9.9e-07,0.63333333,0.52,0.7
15,0.5,0.5,0,0.00012316,0.5,13.41055793,0,0,0.00419645,0.00475909,0.0006092,0.00056264,0.41025773,0.04130644,1e-06,0.5,0,0,4.15e-06,,,
20,0.5,0.5,0,0.00012421,0.5,13.6617063,0,0,0.00427568,0.00489573,0.00067439,0.00062005,0.39769709,0.05095692,1e-06,0.5,0,0,-2.3e-07,0.7,0.53,0.73
25,0.5,0.5,0,0.00013157,0.5,14.16059867,0,0,0.0044124,0.00525558,0.00087162,0.00084317,0.39632705,0.04096372,1e-06,0.5,0,0,2.8e-06,,,
30,0.5,0.5,0,0.00012792,0.5,14.41475431,0,0,0.00449573,0.01747494,0.01302182,0.01297921,0.4087705,0.04457241,1e-06,0.5,0,0,-8.71e-06,0.73333333,0.54,0.66
35,0.5,0.5,0,0.00012618,0.5,14.47878064,0,0,0.00451644,0.00519729,0.00072645,0.00068085,0.39638007,0.04051164,1e-06,0.5,0,0,3.84e-06,,,
40,0.5,0.5,0,0.00012734,0.5,14.24121278,0,0,0.00446005,0.01296469,0.00858001,0.00850464,0.38167813,0.04748826,1e-06,0.5,0,0,-4.39e-06,0.66666667,0.44,0.69
45,0.5,0.5,0,0.00013083,0.5,15.03607667,0,0,0.00467532,0.03929313,0.03464681,0.03461781,0.37346452,0.03587464,1e-06,0.5,0,0,2.73e-06,,,
50,0.5,0.5,0,0.00013106,0.5,15.54925341,0,0,0.00483811,0.00595004,0.00115859,0.00111193,0.37238929,0.03655047,1e-06,0.5,0,0,1.422e-05,0.8,0.58,0.76
55,0.5,0.5,0,0.00013163,0.5,15.90320019,0,0,0.00494035,62.10281175,62.09790972,62.09787094,0.35323212,0.04249505,1e-06,0.5,0,0,2.321e-05,,,
60,0.5,0.5,0,0.00013492,0.5,16.39646258,0,0,0.00508402,0.00641741,0.00136355,0.0013334,0.33635584,0.04035707,1e-06,0.5,0,0,4.183e-05,0.73333333,0.52,0.7
65,0.5,0.5,0,0.00013509,0.5,17.39443169,0,0,0.00539387,0.01068873,0.00534594,0.00529486,0.3115122,0.04257798,1e-06,0.5,0,0,5.45e-05,,,
70,0.5,0.5,0,0.00013557,0.5,19.63660983,0,0,0.00605889,23.24877763,23.24275189,23.24271607,0.24431664,0.06326681,1e-06,0.5,0,0,0.0005732,0.8,0.53,0.67
75,0.5,0.5,0,0.00014382,0.5,21.27405966,0,0,0.00654478,140.34956531,140.34304593,140.34302081,0.14986466,0.08820972,1e-06,0.5,0,0,0.00066589,,,
80,0.5,0.5,0,0.000143,0.5,26.10897044,0,0,0.00799693,238.84062067,238.83265164,238.83262314,0.14421679,0.13253366,1e-06,0.5,0,0,0.00238031,0.76666667,0.52,0.76
85,0.5,0.5,0,0.00014298,0.5,37.39700262,0,0,0.0113857,2550.18775871,2550.17639951,2550.17637032,0.11169324,0.32474779,1e-06,0.5,0,0,0.00919639,,,
90,0.5,0.5,0,0.00014727,0.5,98.58749632,0,0,0.02973501,698261.51781117,698261.50100985,698261.50100985,0.12714888,2.41481653,1e-06,0.5,0,0,0.08902484,0.5,0.29,0.57
