_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.73333333,0.49,0.72
5,0.49955357,0.49927455,3e-08,0.0001254,0.49882813,13.08662171,0.13087541,-0.13085626,0.00409987,0.00465774,0.00060586,0.00055786,0.4150129,0.78334574,4e-07,0.5,0,0.13085626,-7.09e-06,,,
10,0.5,0.5,0,0.00012408,0.5,12.87131253,0.12873351,-0.12873351,0.00403358,0.00456973,0.00058052,0.00053615,0.39452809,0.70479414,9e-07,0.5,0,0.12873351,3.52e-06,0.7,0.51,0.74
15,0.5,0.5,0,0.00012149,0.5,12.98120371,0.1298111,-0.1298111,0.00406833,0.00461761,0.00059722,0.00054928,0.39728794,0.66495515,1e-06,0.5,0,0.1298111,-7.67e-06,,,
20,0.5,0.5,0,0.00012506,0.5,12.87911886,0.1294028,-0.1294028,0.004037,0.0048916,0.00090113,0.0008546,0.37700474,0.80296241,1e-06,0.5,0,0.1294028,-1.046e-05,0.73333333,0.53,0.72
25,0.5,0.5,0,0.00012661,0.5,12.77178888,0.12772416,-0.12772416,0.00399894,0.00454893,0.00058479,0.00054999,0.36939311,0.67281034,1e-06,0.5,0,0.12772416,-5.95e-06,,,
30,0.5,0.5,0,0.00012644,0.5,12.82505525,0.12826634,-0.12826634,0.00402003,0.00460255,0.00062754,0.00058252,0.37896106,0.78559539,1e-06,0.5,0,0.12826634,-1.319e-05,0.73333333,0.51,0.66
35,0.5,0.5,0,0.00012516,0.5,12.43978757,0.12440799,-0.12440799,0.00390256,0.00446235,0.00060104,0.0005598,0.36370197,0.83403932,1e-06,0.5,0,0.12440799,-2.652e-05,,,
40,0.5,0.5,0,0.00012111,0.5,11.89276174,0.11894789,-0.11894712,0.00375833,0.00429242,0.00061509,0.00053409,0.35554874,0.8390554,1e-06,0.5,0,0.11894711,-2.867e-05,0.7,0.52,0.73
45,0.5,0.5,0,0.00012532,0.5,12.17697673,0.12180744,-0.12180744,0.00382137,0.00441465,0.00062984,0.00059328,0.34818086,0.68458777,1e-06,0.5,0,0.12180744,-2.01e-05,,,
50,0.5,0.5,0,0.00012554,0.5,12.23443275,0.12256312,-0.12256312,0.00383936,0.00461705,0.00081575,0.00077769,0.35052642,0.70830232,1e-06,0.5,0,0.12256312,-2.556e-05,0.7,0.45,0.75
55,0.5,0.5,0,0.00012848,0.5,12.09079884,0.12094301,-0.1209305,0.00379432,0.01748899,0.01372883,0.01369466,0.34191567,0.6977042,1e-06,0.5,0,0.1209305,-3.906e-05,,,
60,0.5,0.5,0,0.0001278,0.5,11.89841985,0.1410593,-0.0966538,0.00373514,0.03467227,0.03096836,0.03093713,0.33339959,3.1816767,1e-06,0.5,0,0.0966538,-2.74e-05,0.7,0.45,0.69
65,0.5,0.5,0,0.00013092,0.5,12.22202628,0.1320142,-0.11232469,0.00383091,0.01468311,0.0108808,0.0108522,0.3404423,20.74289829,1e-06,0.5,0,0.11232468,-4.231e-05,,,
70,0.5,0.5,0,0.00013015,0.5,12.41117601,8.65408798,-8.64976743,0.00388611,10.01575992,10.01189888,10.01187345,0.34240419,8.35128995,1e-06,0.5,0,8.64976743,-3.877e-05,0.5,0.4,0.65
75,0.5,0.5,0,0.00013161,0.5,12.76236703,81.43477917,-22.63853534,0.00399283,82.86502987,82.86105896,82.86103088,0.34719557,9858.42351694,1e-06,0.5,0,22.63853323,-4.802e-05,,,
80,0.5,0.5,0,0.00013172,0.5,12.83039685,6.11208132,5.76346494,0.00401755,21.05975608,21.05577427,21.0557374,0.33982024,40.09933753,1e-06,0.5,0,-5.76346494,-4.321e-05,0.5,0.39,0.65
85,0.5,0.5,0,0.00012965,0.5,12.81129005,156.67272531,72.94764238,0.00401318,261.10970672,261.1057327,261.10569271,0.33502793,3790.52373016,1e-06,0.5,0,-72.94764171,-4.189e-05,,,
