_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.66666667,0.57,0.71
5,0.49933036,0.49977679,8e-08,0.00012246,0.49910714,13.19502798,0.39781648,-0.393504,0.00414634,0.00613196,0.00206167,0.00198561,0.4160434,2.36982852,4e-07,0.5,0,0.39350399,6.83e-06,,,
10,0.5,0.5,0,0.00012374,0.5,12.8082479,0.3842537,-0.3842537,0.00401808,0.00456775,0.00060088,0.00054967,0.39232588,2.16952672,9e-07,0.5,0,0.38425369,-8.68e-06,0.63333333,0.52,0.7
15,0.5,0.49979968,-3e-08,0.0001261,0.49979968,12.96347905,0.38890802,-0.38890802,0.00405996,0.00460466,0.0005866,0.0005447,0.39640522,1.95661007,1e-06,0.5,0,0.38890802,-1.373e-05,,,
20,0.5,0.5,0,0.00012252,0.5,12.83519969,0.40236993,-0.40236993,0.00402867,0.03131599,0.02734354,0.02728732,0.38099751,19.69499065,1e-06,0.5,0,0.40236992,-1.428e-05,0.73333333,0.48,0.7
25,0.5,0.5,0,0.00012638,0.5,12.77133517,0.38313157,-0.38313157,0.00399849,0.00453363,0.00056933,0.00053514,0.37180042,1.94903325,1e-06,0.5,0,0.38313157,-8.87e-06,,,
30,0.5,0.5,0,0.00011888,0.5,12.72225494,0.38168049,-0.38168049,0.00399326,0.00452932,0.00058922,0.00053606,0.37940577,2.18241792,1e-06,0.5,0,0.38168048,-5.8e-06,0.73333333,0.52,0.64
35,0.5,0.5,0,0.00012352,0.5,12.40794057,0.37223887,-0.37223887,0.00389132,0.00444183,0.00058839,0.00055051,0.36675927,1.92632956,1e-06,0.5,0,0.37223887,-1.496e-05,,,
40,0.5,0.49979968,-4e-08,0.0001208,0.49979968,11.84392235,0.35529573,-0.35529573,0.00375477,0.00431449,0.00066298,0.00055972,0.3576327,2.48279243,1e-06,0.5,0,0.35529572,-1.436e-05,0.66666667,0.5,0.65
45,0.5,0.5,0,0.00012462,0.5,12.11864857,0.39541849,-0.33125747,0.00380563,0.03054787,0.02678231,0.02674224,0.35093775,36.2581706,1e-06,0.5,0,0.33125746,-2.482e-05,,,
50,0.5,0.5,0,0.00012567,0.5,12.18791621,0.36562787,-0.36562787,0.0038297,0.00440088,0.00061783,0.00057119,0.35289514,2.02033932,1e-06,0.5,0,0.36562786,-1.504e-05,0.66666667,0.42,0.68
55,0.5,0.5,0,0.00012617,0.5,12.13282088,0.3639477,-0.3639477,0.0038073,0.00438555,0.00061315,0.00057825,0.34440061,2.58094358,1e-06,0.5,0,0.36394769,-9.73e-06,,,
60,0.5,0.5,0,0.00012706,0.5,11.88014571,0.42399668,-0.42399668,0.0037289,0.07729333,0.07359414,0.07356442,0.3368834,12.65533958,1e-06,0.5,0,0.42399667,-2.566e-05,0.6,0.47,0.69
65,0.5,0.5,0,0.00012816,0.5,12.2408038,14.47623965,13.72837307,0.00384321,24.80520067,24.80139887,24.80135693,0.34384102,10.91679072,1e-06,0.5,0,-13.72837308,-3.383e-05,,,
70,0.5,0.5,0,0.00013171,0.5,12.45246581,0.39143217,-0.3557909,0.00389847,0.02609024,0.02221724,0.02219177,0.34351093,12.63133543,1e-06,0.5,0,0.3557909,-4.152e-05,0.56666667,0.36,0.69
75,0.5,0.5,0,0.00013244,0.5,12.78910485,0.40408084,-0.36205995,0.00400446,0.02840477,0.02443577,0.02440031,0.35182086,14.33277251,1e-06,0.5,0,0.36205995,-3.64e-05,,,
80,0.5,0.5,0,0.00012789,0.5,12.86674402,0.38750925,-0.38387227,0.00403163,0.00790203,0.00391361,0.0038704,0.34728435,2.13038419,1e-06,0.5,0,0.38387227,-2.797e-05,0.53333333,0.33,0.71
85,0.5,0.49979167,-6e-08,0.00013031,0.49979167,12.52722409,0.4154186,-0.33684485,0.00395416,48.21839256,48.21452742,48.21443532,0.33876312,42.23583739,1e-06,0.5,0,0.33684485,-1.461e-05,,,
90,0.5,0.5,0,0.00013713,0.5,13.2370486,110.52094473,-47.91780107,0.00413422,114.27720964,114.27310186,114.27307566,0.34068391,3233.82345215,1e-06,0.5,0,47.9178039,-2.71e-05,0.53333333,0.37,0.64
95,0.5,0.5,0,0.00013836,0.5,14.31405176,44.33666993,-33.16027631,0.00445432,54.10633356,54.10189483,54.10187462,0.36799869,4554.63056632,1e-06,0.5,0,33.1602766,-2.343e-05,,,
100,0.5,0.5,0,0.00013776,0.5,13.92370684,2.23779716,1.35320849,0.00433731,3.3484104,3.34409331,3.34407292,0.35644892,363.08292941,1e-06,0.5,0,-1.35320833,-1.89e-05,0.53333333,0.37,0.62
105,0.5,0.5,0,0.00013705,0.5,14.5608386,4.68190066,-3.00666858,0.00453345,24.70666852,24.70216604,24.70213465,0.36117622,1074.15507243,1e-06,0.5,0,3.00666852,-3.023e-05,,,
110,0.5,0.5,0,0.00013676,0.5,14.66993445,137.79511386,35.25821372,0.00456382,204.39139939,204.38685581,204.38682931,0.35408014,1622.86817569,1e-06,0.5,0,-35.25821372,-2.621e-05,0.43333333,0.34,0.6
115,0.5,0.5,0,0.00014112,0.5,15.9121572,31.09572772,-17.68185189,0.00493109,67.46635769,67.46144119,67.46142631,0.37495166,2889.6756222,1e-06,0.5,0,17.68185163,-1.044e-05,,,
120,0.5,0.5,0,0.00013933,0.5,15.82455143,259.11531125,-20.48650867,0.00490863,227.93969479,227.93481143,227.93478941,0.36432856,2919.66048803,1e-06,0.5,0,20.48650725,-2.709e-05,0.4,0.26,0.65
