_step,actor/bspo_clip_neg_frac,actor/bspo_clip_pos_frac,actor/bspo_delta_reg_mean,actor/bspo_delta_w_mean,actor/bspo_penalty_active_frac,actor/bspo_penalty_mean,actor/bspo_per_traj_abs_mean,actor/bspo_per_traj_mean,actor/bspo_s_neg_mean,actor/bspo_s_pos_mean,actor/bspo_s_tau_abs_mean,actor/bspo_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/aime2025/acc/mean@1,val-core/beyondaime/acc/mean@1,val-core/olympiadbench/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,0.7,0.47,0.68
5,0.49927455,0.5,1e-07,0.000121,0.49927455,13.10279605,0.13101911,-0.13101841,0.0041074,0.00465212,0.00059804,0.00054472,0.4135679,0.8150271,4e-07,0.5,0,0.13101841,-3.28e-06,,,
10,0.5,0.5,0,0.00012551,0.5,12.84276707,0.12842913,-0.12842913,0.00402341,0.004576,0.00059375,0.00055259,0.39446729,0.71357112,9e-07,0.5,0,0.12842912,2.34e-06,0.73333333,0.49,0.71
15,0.5,0.5,0,0.00012202,0.5,12.9188367,0.12917918,-0.12917918,0.00405296,0.00462892,0.00063058,0.00057596,0.39792091,0.67924853,1e-06,0.5,0,0.12917918,-1.759e-05,,,
20,0.5,0.5,0,0.00012354,0.5,12.73244957,0.12733106,-0.12733106,0.00400243,0.00455267,0.00061562,0.00055024,0.37791479,0.80535458,1e-06,0.5,0,0.12733106,-2.637e-05,0.6,0.46,0.65
25,0.5,0.5,0,0.00012864,0.5,12.73948003,0.12741811,-0.12741811,0.00398708,0.00453914,0.00058254,0.00055206,0.36964288,0.62775271,1e-06,0.5,0,0.12741811,-7.21e-06,,,
30,0.5,0.5,0,0.00012603,0.5,12.88468324,0.12885745,-0.12885745,0.00403651,0.004611,0.0006167,0.00057449,0.37913585,0.74055655,1e-06,0.5,0,0.12885744,-1.632e-05,0.6,0.44,0.61
35,0.5,0.5,0,0.00012606,0.5,12.50127266,0.12548023,-0.12448235,0.00391983,0.00547046,0.00158952,0.00155063,0.36612615,0.74735459,1e-06,0.5,0,0.12448235,-1.729e-05,,,
40,0.49979968,0.5,6e-08,0.00011648,0.49979968,11.93456925,0.11935374,-0.11934991,0.0037694,0.00429207,0.00060085,0.00052267,0.35846806,0.83560169,1e-06,0.5,0,0.11934991,-1.228e-05,0.7,0.49,0.67
45,0.5,0.5,0,0.00012521,0.5,12.31856393,0.18009408,-0.0661646,0.00386284,0.08289573,0.07906743,0.07903289,0.34934708,84.59604464,1e-06,0.5,0,0.0661646,-1.045e-05,,,
50,0.5,0.5,0,0.00012767,0.5,12.23119832,4.98440452,4.24685115,0.00383912,19.12012997,19.1163282,19.11628867,0.34900579,10866.76785675,1e-06,0.5,0,-4.24685112,-4.395e-05,0.5,0.46,0.66
55,0.5,0.5,0,0.00012672,0.5,12.16484421,54.64192662,50.40873011,0.00381605,114.52686803,114.52309274,114.52305954,0.34337807,0.62122236,1e-06,0.5,0,-50.40872575,-1.877e-05,,,
