_step,actor/bspo_md_delta_d_w_mean,actor/bspo_md_delta_g_reg_mean,actor/bspo_md_delta_g_w_mean,actor/bspo_md_delta_tau_reg_mean,actor/bspo_md_n_domains,actor/bspo_md_n_groups,actor/bspo_md_pen_d_active_frac,actor/bspo_md_pen_d_mean,actor/bspo_md_pen_g_active_frac,actor/bspo_md_pen_g_mean,actor/bspo_md_pen_tau_mean,actor/bspo_md_s_d_abs_mean,actor/bspo_md_s_d_mean,actor/bspo_md_s_g_abs_mean,actor/bspo_md_s_g_mean,actor/bspo_md_s_tau_abs_mean,actor/bspo_md_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/nemogym_code/acc/mean@1,val-core/nemogym_if/acc/mean@1,val-core/nemogym_mcqa/acc/mean@1,val-core/nemogym_structured/acc/mean@1,val-core/nemogym_workplace/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,,,,,,0.53846154,0.57692308,0.77777778,0.57142857,0.14285714
5,7.79e-06,1.558e-05,5e-08,1e-07,5.31640625,45.8359375,0.04804688,0.2065665,0.000246,0.00094695,21.69491478,0.00134716,0.00092204,0.00034932,0.00022719,0.00198785,0.00131535,0.3947756,0.32404097,4e-07,0.49978299,0,1.3e-07,1.01e-06,,,,,
10,6.08e-06,1.53e-05,4e-08,-3.2e-07,5.453125,46.2890625,0.03623047,0.15253775,0.00021738,0.00098839,19.55721985,0.0014356,0.00092418,0.00033572,0.00021645,0.00194191,0.00126219,0.41105461,0.15876412,9e-07,0.49268973,0,-6.8e-07,-1.639e-05,0.53846154,0.57692308,0.74074074,0.42857143,0.14285714
15,8.73e-06,1.873e-05,2e-08,8.1e-07,5.66666667,48.546875,0.06263021,0.31477499,0.00047349,0.00164585,21.22847829,0.00189761,0.00131395,0.00058671,0.00038208,0.00262753,0.0016909,0.40637416,0.4527339,1e-06,0.49818498,0,-7.7e-07,2.505e-05,,,,,
20,5.59e-06,1.549e-05,1e-08,3e-07,5.5234375,46.06640625,0.03733724,0.15532677,0.00012894,0.00013709,19.50442223,0.00171554,0.00109409,0.00038542,0.00023987,0.00217487,0.00135925,0.38934559,0.36188967,1e-06,0.49925983,0,-1.77e-06,1.223e-05,0.65384615,0.61538462,0.81481481,0.71428571,0.14285714
25,5.66e-06,1.681e-05,1e-08,1.1e-07,5.57421875,46.91015625,0.03404948,0.14847936,0.00019401,0.00090201,21.12229501,0.00151708,0.00115393,0.00034295,0.00024993,0.00200416,0.00146233,0.401326,0.13840631,1e-06,0.49708194,0,-6.4e-07,1.351e-05,,,,,
30,5.79e-06,1.792e-05,5e-08,6.8e-07,5.48046875,46.6484375,0.02906901,0.14676603,0.000162,0.00018467,21.70725909,0.00192861,0.00157685,0.00040454,0.0003246,0.0023339,0.00186983,0.42899287,0.21258705,1e-06,0.49580776,0,3e-07,4.28e-06,0.65384615,0.73076923,0.81481481,0.85714286,0.14285714
35,9.11e-06,1.854e-05,5e-08,-6e-07,5.82291667,49.1875,0.06536458,0.32498067,0.00029349,0.00146845,21.71997088,0.00783897,0.0075072,0.00283295,0.0026924,0.01257367,0.01192173,0.36573598,0.14981761,1e-06,0.49547691,0,3.3e-07,-6.13e-06,,,,,
40,1.467e-05,1.934e-05,1e-07,-1.11e-06,5.421875,47.703125,0.06289063,0.30503235,0.00064062,0.00256684,23.13461924,0.00182624,0.00137775,0.00055896,0.0003972,0.00244967,0.00176514,0.38704357,0.21721239,1e-06,0.49869185,0,1e-08,7.43e-06,0.65384615,0.61538462,0.81481481,0.71428571,0.14285714
45,8.81e-06,2.071e-05,6e-08,1.14e-06,5.85416667,48.96354167,0.0515625,0.35368198,0.00040986,0.00157399,20.94963687,0.00250391,0.00136715,0.00068711,0.00038691,0.00312199,0.00180303,0.35980323,0.41806295,1e-06,0.49132916,0,-3.4e-07,-5.26e-06,,,,,
