_step,actor/bspo_md_delta_d_w_mean,actor/bspo_md_delta_g_reg_mean,actor/bspo_md_delta_g_w_mean,actor/bspo_md_delta_tau_reg_mean,actor/bspo_md_n_domains,actor/bspo_md_n_groups,actor/bspo_md_pen_d_active_frac,actor/bspo_md_pen_d_mean,actor/bspo_md_pen_g_active_frac,actor/bspo_md_pen_g_mean,actor/bspo_md_pen_tau_mean,actor/bspo_md_s_d_abs_mean,actor/bspo_md_s_d_mean,actor/bspo_md_s_g_abs_mean,actor/bspo_md_s_g_mean,actor/bspo_md_s_tau_abs_mean,actor/bspo_md_s_tau_mean,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/nemogym_code/acc/mean@1,val-core/nemogym_if/acc/mean@1,val-core/nemogym_mcqa/acc/mean@1,val-core/nemogym_structured/acc/mean@1,val-core/nemogym_workplace/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,,,,,,0.65384615,0.65384615,0.81481481,0.57142857,0.14285714
5,5.97e-06,1.646e-05,2e-08,3.8e-07,5.26953125,46.60546875,0.04287109,0.12853227,7.742e-05,0.0005565,21.26956508,0.00156996,0.0011334,0.00037829,0.00027294,0.00212721,0.00153467,0.3956041,0.34298314,4e-07,0.5,0,2e-08,-4.38e-06,,,,,
10,6.77e-06,1.424e-05,5e-08,-4.3e-07,5.52734375,46.95703125,0.04235026,0.15977711,0.00020512,0.00064726,19.51615801,0.00143336,0.00101484,0.00034245,0.00023897,0.00197878,0.00135154,0.41099995,0.20482089,9e-07,0.49216502,0,-1.98e-06,-8.89e-06,0.61538462,0.61538462,0.85185185,0.42857143,0.14285714
15,1.125e-05,1.904e-05,4e-08,-3e-08,5.80208333,49.13541667,0.06597222,0.29070342,0.0004229,0.0013526,21.0832269,0.00203226,0.00140414,0.00058714,0.00037459,0.0026925,0.00171399,0.40623775,0.4205387,1e-06,0.49678081,0,-7.2e-07,-1.891e-05,,,,,
20,4.76e-06,1.576e-05,7e-08,5.4e-07,5.515625,46.16796875,0.04013672,0.1917082,0.0003723,0.00049294,19.7526698,0.00207765,0.00150943,0.00043008,0.00028146,0.0025382,0.00167736,0.39250186,0.42124887,1e-06,0.49860336,0,-1.7e-06,-8.5e-06,0.61538462,0.53846154,0.85185185,0.71428571,0.14285714
25,5.65e-06,1.485e-05,-3e-08,7e-08,5.625,47.171875,0.03958333,0.19670954,0.00015587,0.0005685,21.26513145,0.00151657,0.00109853,0.0003444,0.00023536,0.00203273,0.0014016,0.40055472,0.1345759,1e-06,0.49614025,0,2.9e-07,2.128e-05,,,,,
30,4.85e-06,1.573e-05,8e-08,1e-07,5.4453125,47.25,0.04179688,0.17753308,0.00020832,0.00144283,21.68055554,0.00165019,0.00117388,0.0003671,0.00025402,0.00214103,0.00149969,0.42750156,0.20863367,1e-06,0.49565662,0,1.2e-07,-9.5e-07,0.69230769,0.61538462,0.81481481,0.85714286,0.14285714
35,1.132e-05,1.849e-05,2e-08,4.7e-07,5.74479167,48.5,0.05755208,0.21809235,0.00037936,0.00365128,21.18554452,0.01134537,0.01101792,0.00389014,0.00377003,0.01801831,0.01744795,0.36367247,0.13159093,1e-06,0.49673098,0,-9.5e-07,-1.265e-05,,,,,
40,1.023e-05,1.99e-05,5e-08,-4.8e-07,5.41145833,49.07291667,0.06467014,0.28103284,0.00056272,0.00365756,23.15098904,0.00199443,0.00156547,0.00058572,0.00043117,0.00260644,0.00191952,0.38703555,0.19441093,1e-06,0.49878169,0,-1e-08,-2.413e-05,0.80769231,0.65384615,0.85185185,0.85714286,0.14285714
45,7.41e-06,1.928e-05,2e-08,1.94e-06,5.77083333,49.015625,0.06158854,0.36418444,0.00036286,0.00260772,21.02851952,0.00280445,0.00140522,0.00072583,0.0003326,0.00333856,0.00163205,0.36324239,0.46397085,1e-06,0.49287729,0,-1.15e-06,1.462e-05,,,,,
