_step,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/nemogym_code/acc/mean@1,val-core/nemogym_if/acc/mean@1,val-core/nemogym_mcqa/acc/mean@1,val-core/nemogym_structured/acc/mean@1,val-core/nemogym_workplace/acc/mean@1
0,,,,,,,,0,0.03846154,0.11111111,0,0.14285714
1,,,,,,,,0,0.03846154,0.14814815,0,0.14285714
2,,,,,,,,0,0,0.03703704,0,0.14285714
3,,,,,,,,0,0.07692308,0.07407407,0,0.14285714
4,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
5,4.07938814,20.96472693,4e-07,0,0,0.26533545,0,0,0.03846154,0.03703704,0,0.14285714
6,,,,,,,,0,0,0,0,0.14285714
7,,,,,,,,0,0,0.11111111,0,0.14285714
8,,,,,,,,0,0,0.11111111,0,0.14285714
9,,,,,,,,0.03846154,0.07692308,0,0,0.14285714
10,3.43527794,4.34969839,9e-07,0,0,0.13199894,0,0,0.11538462,0.03703704,0,0.14285714
11,,,,,,,,0,0.03846154,0.07407407,0.14285714,0.14285714
12,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
13,,,,,,,,0,0.11538462,0.11111111,0,0.14285714
14,,,,,,,,0,0.03846154,0,0,0.14285714
15,3.38151312,10.51242892,1e-06,0,0,0.20763894,0,0,0,0.03703704,0,0.14285714
16,,,,,,,,0,0.03846154,0,0,0.14285714
17,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
18,,,,,,,,0,0.03846154,0,0,0.14285714
19,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
20,3.27888894,5.54737203,1e-06,0,0,0.16382082,0,0,0.03846154,0.03703704,0,0.14285714
21,,,,,,,,0,0,0.03703704,0,0.14285714
22,,,,,,,,0,0,0.03703704,0,0.14285714
23,,,,,,,,0,0,0.03703704,0,0.14285714
24,,,,,,,,0,0,0.07407407,0,0.14285714
25,3.78715396,14.75704633,1e-06,0,0,0.1374538,0,0,0.03846154,0.03703704,0,0.14285714
26,,,,,,,,0.03846154,0.03846154,0.07407407,0,0.14285714
27,,,,,,,,0,0,0.11111111,0,0.14285714
28,,,,,,,,0,0.11538462,0.03703704,0,0.14285714
29,,,,,,,,0,0,0.03703704,0,0.14285714
30,2.9125638,5.67963679,1e-06,0,0,0.09736979,0,0,0.03846154,0.07407407,0,0.14285714
31,,,,,,,,0.03846154,0,0.11111111,0,0.14285714
32,,,,,,,,0,0.03846154,0.07407407,0,0.14285714
33,,,,,,,,0,0.07692308,0.11111111,0,0.14285714
34,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
35,2.80204773,7.68369801,1e-06,0,0,0.0955806,0,0,0.03846154,0,0,0.14285714
36,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
37,,,,,,,,0,0,0.07407407,0,0.14285714
38,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
39,,,,,,,,0,0,0.07407407,0,0.14285714
40,2.28666353,5.77116612,1e-06,0,0,0.1657149,0,0,0.03846154,0.07407407,0,0.14285714
41,,,,,,,,0,0.03846154,0,0,0.14285714
42,,,,,,,,0,0.03846154,0,0,0.14285714
43,,,,,,,,0,0.03846154,0.07407407,0,0.14285714
44,,,,,,,,0,0.03846154,0.07407407,0,0.14285714
