_step,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/nemogym_code/acc/mean@1,val-core/nemogym_if/acc/mean@1,val-core/nemogym_mcqa/acc/mean@1,val-core/nemogym_structured/acc/mean@1,val-core/nemogym_workplace/acc/mean@1
0,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
1,,,,,,,,0,0.07692308,0.11111111,0,0.14285714
2,,,,,,,,0.03846154,0.03846154,0.03703704,0,0.14285714
3,,,,,,,,0.03846154,0.03846154,0.07407407,0,0.14285714
4,,,,,,,,0,0,0,0,0.14285714
5,3.15355587,7.8237641,4e-07,0,0,0.18705453,0,0,0.03846154,0,0,0.14285714
6,,,,,,,,0,0.07692308,0.14814815,0,0.14285714
7,,,,,,,,0,0,0.11111111,0,0.14285714
8,,,,,,,,0,0,0.07407407,0,0.14285714
9,,,,,,,,0,0.07692308,0.14814815,0,0.14285714
10,3.42510653,10.3831652,9e-07,0,0,0.10253798,0,0,0.07692308,0.11111111,0,0.14285714
11,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
12,,,,,,,,0,0.11538462,0.03703704,0,0.14285714
13,,,,,,,,0,0,0.07407407,0,0.14285714
14,,,,,,,,0,0,0.03703704,0,0.14285714
15,3.45602536,19.11370795,1e-06,0,0,0.27988451,0,0,0.07692308,0.11111111,0,0.14285714
16,,,,,,,,0,0,0,0,0.14285714
17,,,,,,,,0,0.03846154,0.07407407,0,0.14285714
18,,,,,,,,0,0.03846154,0,0,0.14285714
19,,,,,,,,0,0.03846154,0.07407407,0,0.14285714
20,3.06015491,12.84425075,1e-06,0,0,0.09271871,0,0,0,0.07407407,0,0.14285714
21,,,,,,,,0,0,0,0,0.14285714
22,,,,,,,,0,0,0.11111111,0,0.14285714
23,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
24,,,,,,,,0,0.11538462,0.07407407,0,0.14285714
25,3.29900765,6.59798494,1e-06,0,0,0.17148556,0,0,0.03846154,0.03703704,0,0.14285714
26,,,,,,,,0,0.07692308,0,0,0.14285714
27,,,,,,,,0,0,0.03703704,0,0.14285714
28,,,,,,,,0,0,0.03703704,0,0.14285714
29,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
30,3.54290986,246.32983319,1e-06,0,0,0.18710976,0,0,0.03846154,0.07407407,0,0.14285714
31,,,,,,,,0.03846154,0.03846154,0.03703704,0,0.14285714
32,,,,,,,,0,0.03846154,0,0,0.14285714
33,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
34,,,,,,,,0,0,0.03703704,0,0.14285714
35,3.39025903,233.3609647,1e-06,0,0,0.10393751,0,0,0.03846154,0.18518519,0,0.14285714
36,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
37,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
38,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
39,,,,,,,,0.07692308,0.03846154,0.03703704,0,0.14285714
40,3.92218471,46.93103422,1e-06,0,0,0.00608044,0,0.03846154,0.03846154,0.07407407,0,0.14285714
41,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
