_step,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/nemogym_code/acc/mean@1,val-core/nemogym_if/acc/mean@1,val-core/nemogym_mcqa/acc/mean@1,val-core/nemogym_structured/acc/mean@1,val-core/nemogym_workplace/acc/mean@1
0,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
1,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
2,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
3,,,,,,,,0,0,0.03703704,0,0.14285714
4,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
5,5.16064501,6.40203689,4e-07,0,0,0.03917728,0,0,0.11538462,0.07407407,0,0.14285714
6,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
7,,,,,,,,0,0.03846154,0.07407407,0,0.14285714
8,,,,,,,,0,0.07692308,0.11111111,0,0.14285714
9,,,,,,,,0,0,0.07407407,0,0.14285714
10,2.5759449,14.18320592,9e-07,0,0,0.29578521,0,0,0,0.03703704,0,0.14285714
11,,,,,,,,0,0,0,0,0.14285714
12,,,,,,,,0,0.03846154,0,0,0.14285714
13,,,,,,,,0,0.03846154,0.11111111,0,0.14285714
14,,,,,,,,0,0.07692308,0.07407407,0,0.14285714
15,2.22450066,7.83180622,1e-06,0,0,0.2422036,0,0,0,0.07407407,0,0.14285714
16,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
17,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
18,,,,,,,,0,0.03846154,0.07407407,0,0.14285714
19,,,,,,,,0,0.03846154,0.07407407,0,0.14285714
20,3.41060805,13.46639109,1e-06,0,0,0.02597826,0,0,0.03846154,0.03703704,0,0.14285714
21,,,,,,,,0,0.07692308,0.11111111,0,0.14285714
22,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
23,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
24,,,,,,,,0,0,0.03703704,0,0.14285714
25,1.89010108,12.14157576,1e-06,0,0,0.00988089,0,0,0.03846154,0.11111111,0,0.14285714
26,,,,,,,,0,0.07692308,0,0,0.14285714
27,,,,,,,,0,0,0.07407407,0,0.14285714
28,,,,,,,,0,0.07692308,0.07407407,0,0.14285714
29,,,,,,,,0,0,0.11111111,0,0.14285714
30,2.56199241,253.31611612,1e-06,0,0,0.13251219,0,0,0.07692308,0.14814815,0,0.14285714
31,,,,,,,,0,0.07692308,0.07407407,0,0.14285714
32,,,,,,,,0,0.07692308,0.07407407,0,0.14285714
33,,,,,,,,0,0,0,0,0.14285714
34,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
35,4.0319829,16.6532211,1e-06,0,0,0.16263954,0,0.03846154,0,0.11111111,0,0.14285714
36,,,,,,,,0,0,0,0,0.14285714
37,,,,,,,,0,0,0.07407407,0,0.14285714
38,,,,,,,,0,0.03846154,0.11111111,0,0.14285714
39,,,,,,,,0,0,0.03703704,0,0.14285714
40,3.44723487,26.31659846,1e-06,0,0,0.087996,0,0,0,0.11111111,0,0.14285714
41,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
42,,,,,,,,0.03846154,0.03846154,0.03703704,0,0.14285714
43,,,,,,,,0,0,0.07407407,0,0.14285714
44,,,,,,,,0,0.03846154,0.11111111,0,0.14285714
45,4.34647846,30.37809731,1e-06,0,0,0.22691992,0,0,0.03846154,0.07407407,0,0.14285714
46,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
47,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
48,,,,,,,,0.03846154,0.07692308,0.03703704,0,0.14285714
49,,,,,,,,0,0,0.18518519,0,0.14285714
50,4.66991377,14.43978375,1e-06,0,0,0.09426482,0,0,0.07692308,0.07407407,0,0.14285714
51,,,,,,,,0,0.07692308,0,0,0.14285714
52,,,,,,,,0,0.03846154,0.11111111,0,0.14285714
53,,,,,,,,0,0.11538462,0.03703704,0,0.14285714
54,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
55,2.68928528,9.94454188,1e-06,0,0,0.11291287,0,0,0.07692308,0.07407407,0,0.14285714
56,,,,,,,,0,0,0.03703704,0,0.14285714
57,,,,,,,,0,0.07692308,0.14814815,0,0.14285714
58,,,,,,,,0,0.03846154,0.14814815,0,0.14285714
59,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
60,4.51012421,8.2893354,1e-06,0,0,0.00056556,0,0,0,0,0,0.14285714
61,,,,,,,,0,0,0.07407407,0,0.14285714
62,,,,,,,,0,0.11538462,0,0,0.14285714
63,,,,,,,,0,0,0,0,0.14285714
64,,,,,,,,0,0,0.11111111,0,0.14285714
65,2.00876546,25.03059651,1e-06,0,0,0.04123766,0,0,0,0.03703704,0,0.14285714
66,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
67,,,,,,,,0,0,0.07407407,0,0.14285714
68,,,,,,,,0,0.07692308,0,0,0.14285714
69,,,,,,,,0,0.03846154,0.11111111,0,0.14285714
70,3.09826016,42.92113982,1e-06,0,0,0.04436615,0,0,0.03846154,0.03703704,0,0.14285714
71,,,,,,,,0,0.07692308,0.11111111,0,0.14285714
72,,,,,,,,0,0.07692308,0.07407407,0,0.14285714
73,,,,,,,,0,0,0,0,0.14285714
74,,,,,,,,0,0.03846154,0.11111111,0,0.14285714
75,4.05650806,22.87140164,1e-06,0,0,0.12585189,0,0,0.03846154,0.03703704,0,0.14285714
76,,,,,,,,0,0.07692308,0,0,0.14285714
77,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
78,,,,,,,,0,0.03846154,0,0,0.14285714
79,,,,,,,,0.03846154,0.07692308,0.03703704,0,0.14285714
80,2.78495479,11.57226348,1e-06,0,0,0.02865435,0,0.03846154,0.11538462,0.03703704,0,0.14285714
81,,,,,,,,0,0.03846154,0,0,0.14285714
82,,,,,,,,0,0.07692308,0.03703704,0,0.14285714
83,,,,,,,,0,0.03846154,0.07407407,0,0.14285714
84,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
