_step,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/math_dapo/acc/mean@1
0,,,,,,,,0
1,,,,,,,,0
2,,,,,,,,0
3,,,,,,,,0
4,,,,,,,,0
5,3.55166721,7.76861944,4e-07,0,0,0.1091553,0,0
6,,,,,,,,0.00104167
7,,,,,,,,0
8,,,,,,,,0.00104167
9,,,,,,,,0
10,3.00893259,12.90017461,9e-07,0,0,0.29891698,0,0
11,,,,,,,,0
12,,,,,,,,0
13,,,,,,,,0
14,,,,,,,,0
15,2.95254374,7.84830005,1e-06,0,0,0.08306447,0,0
16,,,,,,,,0
17,,,,,,,,0
18,,,,,,,,0.00104167
19,,,,,,,,0
20,2.69134736,16.31921576,1e-06,0,0,0.13047171,0,0
21,,,,,,,,0
22,,,,,,,,0
23,,,,,,,,0
24,,,,,,,,0
25,2.83639407,8.68210615,1e-06,0,0,0.2036133,0,0
26,,,,,,,,0
27,,,,,,,,0
28,,,,,,,,0
29,,,,,,,,0
